,source,mutation_method,temperature,population_size,num_iterations,best_state,best_score
1000,2,swap,13,5,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1001,2,swap,13,5,50,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1002,2,swap,13,5,100,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1003,2,swap,13,5,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1004,2,swap,13,5,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1005,2,swap,13,10,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1006,2,swap,13,10,50,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1007,2,swap,13,10,100,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1008,2,swap,13,10,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1009,2,swap,13,10,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1010,2,swap,13,20,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1011,2,swap,13,20,50,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1012,2,swap,13,20,100,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1013,2,swap,13,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1014,2,swap,13,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1015,2,swap,13,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1016,2,swap,13,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1017,2,swap,13,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1018,2,swap,13,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1019,2,swap,13,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1020,2,swap,13,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1021,2,swap,13,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1022,2,swap,13,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1023,2,swap,13,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1024,2,swap,13,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1025,2,swap,21,5,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1026,2,swap,21,5,50,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1027,2,swap,21,5,100,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1028,2,swap,21,5,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1029,2,swap,21,5,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1030,2,swap,21,10,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1031,2,swap,21,10,50,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1032,2,swap,21,10,100,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1033,2,swap,21,10,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1034,2,swap,21,10,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
1035,2,swap,21,20,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
1036,2,swap,21,20,50,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1037,2,swap,21,20,100,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1038,2,swap,21,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1039,2,swap,21,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
1040,2,swap,21,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1041,2,swap,21,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1042,2,swap,21,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1043,2,swap,21,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1044,2,swap,21,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1045,2,swap,21,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1046,2,swap,21,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1047,2,swap,21,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1048,2,swap,21,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1049,2,swap,21,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
1050,2,add,1,5,10,"[3, 1, 5]",0.5
1051,2,add,1,5,50,"[3, 1, 5]",0.5
1052,2,add,1,5,100,"[3, 5]",2.0
1053,2,add,1,5,200,"[3, 5]",2.0
1054,2,add,1,5,500,"[3, 5]",2.0
1055,2,add,1,10,10,"[3, 7, 1, 5]",0.25
1056,2,add,1,10,50,"[3, 5]",2.0
1057,2,add,1,10,100,"[3, 5]",2.0
1058,2,add,1,10,200,"[3, 5]",2.0
1059,2,add,1,10,500,"[3, 5]",2.0
1060,2,add,1,20,10,"[3, 8, 7, 1, 5]",0.125
1061,2,add,1,20,50,"[3, 5]",2.0
1062,2,add,1,20,100,"[3, 5]",2.0
1063,2,add,1,20,200,"[3, 5]",2.0
1064,2,add,1,20,500,"[3, 5]",2.0
1065,2,add,1,50,10,"[3, 0, 1, 9, 5]",0.25
1066,2,add,1,50,50,"[3, 0, 1, 9, 5]",0.25
1067,2,add,1,50,100,"[3, 5]",2.0
1068,2,add,1,50,200,"[3, 5]",2.0
1069,2,add,1,50,500,"[3, 5]",2.0
1070,2,add,1,100,10,"[3, 5]",2.0
1071,2,add,1,100,50,"[3, 5]",2.0
1072,2,add,1,100,100,"[3, 5]",2.0
1073,2,add,1,100,200,"[3, 5]",2.0
1074,2,add,1,100,500,"[3, 5]",2.0
1075,2,add,2,5,10,"[3, 1, 5]",0.5
1076,2,add,2,5,50,"[3, 5]",2.0
1077,2,add,2,5,100,"[3, 5]",2.0
1078,2,add,2,5,200,"[3, 5]",2.0
1079,2,add,2,5,500,"[3, 5]",2.0
1080,2,add,2,10,10,"[3, 7, 1, 5]",0.25
1081,2,add,2,10,50,"[3, 1, 5]",0.5
1082,2,add,2,10,100,"[3, 5]",2.0
1083,2,add,2,10,200,"[3, 5]",2.0
1084,2,add,2,10,500,"[3, 5]",2.0
1085,2,add,2,20,10,"[3, 8, 7, 1, 5]",0.125
1086,2,add,2,20,50,"[3, 5]",2.0
1087,2,add,2,20,100,"[3, 5]",2.0
1088,2,add,2,20,200,"[3, 5]",2.0
1089,2,add,2,20,500,"[3, 5]",2.0
1090,2,add,2,50,10,"[3, 0, 1, 9, 5]",0.25
1091,2,add,2,50,50,"[3, 0, 1, 9, 5]",0.25
1092,2,add,2,50,100,"[3, 5]",2.0
1093,2,add,2,50,200,"[3, 5]",2.0
1094,2,add,2,50,500,"[3, 5]",2.0
